,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.4018000004291534,1.7242018056869506,18.87105917930603,True,0.0005,1
1,True,512,cifar10,0,2,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.5634000008583069,1.1830063510894775,31.860724449157715,True,0.0005,1
2,True,512,cifar10,0,3,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6579000001907349,0.9440753304481506,44.79652142524719,True,0.0005,1
3,True,512,cifar10,0,4,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7263000008583069,0.7990561621665955,57.79212427139282,True,0.0005,1
4,True,512,cifar10,0,5,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7071999995231628,0.8337859580993653,70.71947073936462,True,0.0005,1
5,True,512,cifar10,0,6,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7608999995231629,0.698238054561615,83.60350036621094,True,0.0005,1
6,True,512,cifar10,0,7,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7532000003814697,0.7225193481445312,96.59914994239807,True,0.0005,1
7,True,512,cifar10,0,8,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7435000007629394,0.7413247725486756,109.559641122818,True,0.0005,1
8,True,512,cifar10,0,9,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7685000005722046,0.7044595848083496,122.55519700050354,True,0.0005,1
9,True,512,cifar10,0,10,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7929999995231628,0.6099048942565918,135.4175922870636,True,0.0005,1
10,True,512,cifar10,0,11,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7708999999046325,0.681507051563263,148.27233743667603,True,0.0005,1
11,True,512,cifar10,0,12,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.8240999996185303,0.5164261075019836,161.25351119041443,True,0.0005,1
12,True,512,cifar10,0,13,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.8161000007629394,0.5392808440208435,174.25251245498657,True,0.0005,1
13,True,512,cifar10,0,14,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.8140999998092652,0.5466265662193298,187.23714590072632,True,0.0005,1
14,True,512,cifar10,0,15,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.8146000003814697,0.573467805480957,200.12149667739868,True,0.0005,1
15,True,512,cifar10,0,16,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7690000008583069,0.6948673882484436,213.0524742603302,True,0.0005,1
16,True,512,cifar10,0,17,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.8011000005722045,0.6060060831069947,226.03334879875183,True,0.0005,1
17,True,512,cifar10,0,18,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7798999998092652,0.6723745343208313,239.01641464233398,True,0.0005,1
18,True,512,cifar10,0,19,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.780300000667572,0.6581819353103637,251.9993395805359,True,0.0005,1
19,True,512,cifar10,0,20,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.7876000000953675,0.6793855800628662,264.9527235031128,True,0.0005,1
